Cümle,Tür,,Cümle ,Tür
"Dün yaptığım kek tam bir felaketti, bir daha denemem! ",Öznel,,Bir karede dört dik açı bulunur. ,Nesnel
"Bu yeni kafe inanılmaz şık, ama fiyatlar biraz tuzlu. ",Öznel,,"Nil Nehri, Afrika’nın en uzun nehridir. ",Nesnel
Bence dağda kamp yapmak şehir hayatından çok daha huzurlu. ,Öznel,,"İnsan kalbi, dakikada ortalama 60-100 kez atar. ",Nesnel
"Dün izlediğim film o kadar komikti ki, hala gülüyorum! ",Öznel,,"Radyo dalgaları, elektromanyetik spektrumun bir parçasıdır. ",Nesnel
"Bu kulaklıkların tasarımı çok güzel, ama sesi beklediğimden düşük. ",Öznel,,"Türkiye, Akdeniz ve Karadeniz’e kıyısı olan bir ülkedir. ",Nesnel
Bence sabah kahvaltısı günün en keyifli öğünü. ,Öznel,,"Bir santigrat derece, Kelvin ölçeğinde 273,15’e eşittir. ",Nesnel
Yeni aldığım ceket hem sıcak tutuyor hem de çok tarz. ,Öznel,,Venüs’ün yüzey sıcaklığı yaklaşık 460 derecedir. ,Nesnel
"Bu uygulamanın arayüzü çok kullanıcı dostu, bayıldım! ",Öznel,,"İnsan kulakları, ses dalgalarını algılar. ",Nesnel
"Dün gittiğim tiyatro oyunu beni çok etkiledi, muhteşemdi. ",Öznel,,Bir üçgende iç açıların toplamı 180 derecedir. ,Nesnel
Bence yaz tatili için deniz kenarı her zaman en iyi seçenek. ,Öznel,,"Grönland, dünyanın en büyük adasıdır. ",Nesnel
"Bu şarkının sözleri o kadar derin ki, her dinlediğimde duygulanıyorum. ",Öznel,,Türkiye’nin en kuzey noktası Sinop’tur. ,Nesnel
"Yeni aldığım bisikletle gezmek çok keyifli, ama yokuşlarda zorlanıyorum. ",Öznel,,"Karbon monoksit, CO kimyasal formülüyle ifade edilir. ",Nesnel
"Bu restoranın manzarası harika, ama yemekler ortalama. ",Öznel,,Bir kübün altı yüzü vardır. ,Nesnel
Bence evde kedi beslemek insana terapi gibi geliyor. ,Öznel,,Dünya’nın en yüksek şelalesi Angel Şelalesi’dir. ,Nesnel
"Dün oynadığım oyun o kadar sürükleyiciydi ki, saatlerin nasıl geçtiğini anlamadım ",Öznel,,"İnsan bağırsakları, besin emilimini sağlar. ",Nesnel
"Bu markanın ayakkabıları çok dayanıklı, yıllardır kullanıyorum. ",Öznel,,"Titan, Satürn’ün en büyük uydusudur. ",Nesnel
Bence akşamüstü parkta yürüyüş yapmak gibisi yok. ,Öznel,,"Bir ons, yaklaşık 28,35 gramdır. ",Nesnel
"Bu dizinin konusu çok ilginç, ama oyuncular pek inandırıcı değil. ",Öznel,,"Türkiye, 1923’te cumhuriyetle yönetilmeye başladı. ",Nesnel
"Yeni aldığım defterin tasarımı o kadar güzel ki, yazmaya kıyamıyorum. ",Öznel,,"Kalsiyum, periyodik cetvelde Ca sembolüyle gösterilir. ",Nesnel
"Bu kahvenin tadı mükemmel, her sabah içiyorum. ",Öznel,,"Bir prizmanın hacmi, taban alanı ile yüksekliğin çarpımıdır. ",Nesnel
Bence uzun yolculuklarda kitap okumak en güzel aktivite. ,Öznel,,Dünya’nın en büyük mercan resifi Büyük Set Resifi’dir. ,Nesnel
"Dün yaptığım smoothie o kadar lezzetliydi ki, tarifini paylaşacağım. ",Öznel,,"İnsan pankreası, insülin hormonu üretir. ",Nesnel
"Bu filmin görsel efektleri harika, ama hikayesi biraz klişe. ",Öznel,,"Bir ışık yılı, ışığın bir yılda kat ettiği mesafedir. ",Nesnel
Bence yoga yapmak hem bedeni hem zihni rahatlatıyor. ,Öznel,,Türkiye’nin en batı noktası Çanakkale’dedir. ,Nesnel
"Yeni taşındığımız mahalle çok sakin, burada yaşamak keyifli. ",Öznel,,"Azot, Dünya atmosferinin yaklaşık %78’ini oluşturur. ",Nesnel
"Bu telefonun ekranı çok canlı, ama ağırlığı biraz fazla. ",Öznel,,"Bir paralelkenarın alanı, taban ile yüksekliğin çarpımıdır. ",Nesnel
"Dün gittiğim konser inanılmaz enerjikti, hala etkisindeyim. ",Öznel,,"Jüp BOD, Güneş Sistemi’nin en büyük gezegenidir. ",Nesnel
Bence evde film gecesi düzenlemek arkadaşlarla en eğlenceli plan. ,Öznel,,"İnsan tiroid bezi, metabolizmayı düzenler. ",Nesnel
Bu pastanenin çikolatalı kurabiyeleri bağımlılık yapıyor! ,Öznel,,"Bir acre, yaklaşık 4046,86 metrekaredir. ",Nesnel
"Yeni aldığım lambanın ışığı o kadar güzel ki, odamın havası değişti. ",Öznel,,"Türkiye, UNESCO Dünya Mirası Listesi’nde yer alan 19 bölgeye sahiptir. ",Nesnel
"Bu oyunun müzikleri çok etkileyici, ama oynanışı biraz zor. ",Öznel,,"Demir, periyodik cetvelde Fe sembolüyle gösterilir. ",Nesnel
Bence bahar ayları doğa yürüyüşü için en ideal zaman. ,Öznel,,"Bir silindirin hacmi, πr²h formülüyle hesaplanır. ",Nesnel
"Dün okuduğum makale o kadar ilginçti ki, hemen notlar aldım. ",Öznel,,Dünya’nın en büyük gölü Hazar Denizi’dir. ,Nesnel
"Bu markanın çantaları çok şık, ama fermuarları çabuk bozuluyor. ",Öznel,,"İnsan omurgası, 33 omurdan oluşur. ",Nesnel
Bence evde kahve yapmak dışarıda içmekten daha ekonomik. ,Öznel,,"Bir volt, enerji birimi joule ile akım birimi amperin oranıdır. ",Nesnel
Bu dizinin her bölümü bir öncekinden daha heyecanlı! ,Öznel,,Türkiye’nin en doğu noktası Iğdır’dadır. ,Nesnel
"Yeni aldığım spor ayakkabılar o kadar rahat ki, koşuya bayılıyorum. ",Öznel,,"Neon, periyodik cetvelde Ne sembolüyle gösterilir. ",Nesnel
"Bu kafe çok kalabalık, ama kahveleri buna değiyor. ",Öznel,,Bir yamukta yalnızca bir çift paralel kenar bulunur. ,Nesnel
Bence resim çizmek stresi azaltmanın en güzel yolu. ,Öznel,,Dünya’nın en büyük volkanı Mauna Loa’dır. ,Nesnel
"Dün izlediğim belgesel o kadar bilgilendiriciydi ki, herkes izlemeli. ",Öznel,,"İnsan lenf sistemi, bağışıklıkta rol oynar. ",Nesnel
"Bu uygulamanın reklamları çok rahatsız edici, hemen premium alacağım. ",Öznel,,"Bir parsek, yaklaşık 3,26 ışık yılıdır. ",Nesnel
Bence eski filmlerin havası modern filmlerden çok daha güzel. ,Öznel,,"Türkiye, 7 coğrafi bölgeye ayrılır. ",Nesnel
"Yeni aldığım bitki saksısı o kadar tatlı ki, evime neşe kattı. ",Öznel,,"Sodyum, periyodik cetvelde Na sembolüyle gösterilir. ",Nesnel
"Bu restoranın tatlıları harika, ama porsiyonları biraz küçük. ",Öznel,,"Bir elipsin alanı, πab formülüyle hesaplanır. ",Nesnel
Bence sahilde gün batımını izlemek dünyanın en güzel hissi. ,Öznel,,Dünya’nın en uzun dağı Andes Dağları’dır. ,Nesnel
"Dün oynadığım masa oyunu o kadar eğlenceliydi ki, saatlerce oynadık. ",Öznel,,"İnsan karaciğeri, yaklaşık 1,5 kilogram ağırlığındadır. ",Nesnel
"Bu markanın parfümleri çok kalıcı, ama şişeleri küçük. ",Öznel,,"Bir newton, kilogram ile metre/saniye karenin çarpımıdır. ",Nesnel
Bence evde müzik dinleyerek dans etmek mükemmel bir terapi. ,Öznel,,Türkiye’nin en güney noktası Hatay’dadır. ,Nesnel
"Yeni aldığım koltuğun rengi o kadar güzel ki, odam canlandı. ",Öznel,,"Magnezyum, periyodik cetvelde Mg sembolüyle gösterilir. ",Nesnel
"Bu filmin oyuncuları muhteşem, ama sonu biraz hayal kırıklığı. ",Öznel,,"Bir kürenin hacmi, 4/3πr³ formülüyle hesaplanır. ",Nesnel
Bence kahvaltıda simit ve çay ikilisi asla vazgeçilmez! ,Öznel,,Dünya’nın en büyük krateri Vredefort Krateri’dir. ,Nesnel
" Bu yeni restoranın dekorasyonu çok modern, ama menü biraz sınırlı. ",Öznel,,"İnsan dalak, kan hücrelerini filtreler. ",Nesnel
Bence yağmurlu günlerde evde kalmak dünyadaki en güzel şey. ,Öznel,,"Bir amper, elektrik akımının birimi olarak coulomb/saniyedir. ",Nesnel
"Dün aldığım gözlükler yüzüme o kadar yakıştı ki, aynadan ayrılamıyorum! ",Öznel,,"Türkiye, Avrupa Birliği’ne aday ülkedir. ",Nesnel
"Bu uygulamanın renk teması göz yoruyor, keşke daha sade olsaydı. ",Öznel,,"Potasyum, periyodik cetvelde K sembolüyle gösterilir. ",Nesnel
Bence bir fincan bitki çayı içmek akşamları harika bir ritüel. ,Öznel,,"Bir koninin hacmi, 1/3πr²h formülüyle hesaplanır. ",Nesnel
"Yeni aldığım halı o kadar yumuşak ki, üstünde yürümek bile keyifli. ",Öznel,,Dünya’nın en büyük ormanı Amazon Yağmur Ormanı’dır. ,Nesnel
"Bu filmin diyalogları o kadar doğal ki, sanki gerçek hayattan alınmış. ",Öznel,,"İnsan hipofiz bezi, hormon üretimini düzenler. ",Nesnel
"Dün gittiğim müze çok etkileyiciydi, ama rehber biraz sıkıcıydı. ",Öznel,,"Bir joule, newton ile metrenin çarpımıdır. ",Nesnel
Bence ormanda yürüyüş yapmak insanı tamamen yeniliyor. ,Öznel,,"Türkiye, 3 tarafı denizlerle çevrili bir yarımadadır. ",Nesnel
"Bu albümün her şarkısı ayrı bir başyapıt, tekrar tekrar dinliyorum. ",Öznel,,"Kükürt, periyodik cetvelde S sembolüyle gösterilir. ",Nesnel
"Yeni aldığım çamaşır makinesi çok sessiz, tam bir kurtarıcı! ",Öznel,,"Bir çemberde merkez açı, yarıçapla belirlenir. ",Nesnel
"Bu kafe zincirinin tatlıları güzel, ama kahveleri vasat. ",Öznel,,Dünya’nın en uzun sınırı Kanada-ABD sınırıdır. ,Nesnel
"Bence evde köpek beslemek büyük bir sorumluluk, ama çok eğlenceli. ",Öznel,,"İnsan böbrekleri, yaklaşık 150 gram ağırlığındadır. ",Nesnel
"Dün oynadığım bulmaca oyunu beynimi yordu, ama çok zevkliydi. ",Öznel,,"Bir watt, joule/saniye cinsinden güç birimidir. ",Nesnel
"Bu markanın saatleri çok zarif, ama fiyatları biraz uçuk. ",Öznel,,"Türkiye, Asya ile Avrupa’yı bağlayan iki boğaza sahiptir. ",Nesnel
Bence sabahları meditasyon yapmak güne harika bir başlangıç. ,Öznel,,"Fosfor, periyodik cetvelde P sembolüyle gösterilir. ",Nesnel
"Bu dizinin kostümleri muhteşem, ama temposu biraz yavaş. ",Öznel,,Bir eşkenar üçgende tüm kenarlar eşittir. ,Nesnel
"Yeni aldığım not defterinin kapağı o kadar güzel ki, kullanmaya kıyamıyorum. ",Öznel,,Dünya’nın en büyük gökdeleni Burj Khalifa’dır. ,Nesnel
"Bu çay dükkanının çeşitleri inanılmaz, ama servisi daha iyi olabilir. ",Öznel,,"İnsan timüs bezi, bağışıklık hücrelerini geliştirir. ",Nesnel
Bence uzun tren yolculukları insana kendini dinleme fırsatı veriyor. ,Öznel,,"Bir ohm, elektrik direncinin birimidir. ",Nesnel
"Dün yaptığım salata o kadar lezzetliydi ki, herkes tarifini sordu. ",Öznel,,"Türkiye, G20 üyesidir. ",Nesnel
"Bu filmin atmosferi çok etkileyici, ama finali biraz aceleye gelmiş. ",Öznel,,"Klor, periyodik cetvelde Cl sembolüyle gösterilir. ",Nesnel
Bence pilates yapmak sırt ağrılarımı tamamen geçirdi. ,Öznel,,Bir ikizkenar üçgende iki kenar eşittir. ,Nesnel
"Yeni taşındığımız evin bahçesi o kadar güzel ki, her gün orada vakit geçiriyorum. ",Öznel,,Dünya’nın en büyük mağarası Son Doong Mağarası’dır. ,Nesnel
"Bu telefon kılıfı çok şık, ama koruması zayıf. ",Öznel,,"İnsan adrenal bezleri, stres hormonları üretir. ",Nesnel
"Dün katıldığım atölye çalışması çok öğreticiydi, tekrar giderim. ",Öznel,,"Bir candela, ışık şiddetinin birimidir. ",Nesnel
Bence arkadaşlarla masa oyunu gecesi her zaman en eğlenceli plan. ,Öznel,,"Türkiye, 36 milyon hektar orman alanına sahiptir. ",Nesnel
"Bu fırının ekmekleri o kadar taze ki, her sabah alıyorum. ",Öznel,,"Argon, periyodik cetvelde Ar sembolüyle gösterilir. ",Nesnel
"Yeni aldığım mumun kokusu o kadar güzel ki, evde spa havası yaratıyor. ",Öznel,,"Bir dikdörtgenin çevresi, 2(a+b) formülüyle hesaplanır. ",Nesnel
"Bu oyunun hikayesi çok sürükleyici, ama kontrolleri biraz karmaşık. ",Öznel,,Dünya’nın en büyük lagünü Yeni Kaledonya Lagünü’dür. ,Nesnel
Bence ilkbahar piknik yapmak için en güzel mevsim. ,Öznel,,"İnsan hipotalamus, vücut sıcaklığını düzenler. ",Nesnel
"Dün okuduğum şiir kitabı beni çok etkiledi, her satırı muhteşemdi. ",Öznel,,"Bir kelvin, termodinamik sıcaklık birimidir. ",Nesnel
"Bu markanın ceketleri çok hafif, ama cepleri küçük. ",Öznel,,"Türkiye, 11 Nisan 1921 Anayasası’yla ilk anayasasını kabul etti. ",Nesnel
Bence evde kendi ekmeğimi yapmak hem eğlenceli hem tatmin edici. ,Öznel,," Albert Einstein, görelilik teorisini ortaya koymuştur. ",Nesnel
Bu dizinin yan karakterleri ana karakterlerden bile daha ilginç! ,Öznel,,Türkiye'nin para birimi Türk Lirası’dır. ,Nesnel
Yeni aldığım koşu bandı evde spor yapmayı çok kolaylaştırdı. ,Öznel,,"Amazon, dünyanın en büyük yağmur ormanıdır. ",Nesnel
"Bu restoran çok popüler, ama bence abartıldığı kadar değil. ",Öznel,,"Venüs, Güneş Sistemi'nde yer alan bir gezegendir. ",Nesnel
Bence el sanatlarıyla uğraşmak insanı çok rahatlatıyor. ,Öznel,,"Kanada, yüzölçümü açısından dünyanın en büyük ikinci ülkesidir. ",Nesnel
"Dün izlediğim doğa belgeseli o kadar güzeldi ki, saatlerce izledim. ",Öznel,,"Platon, Antik Yunan filozofudur. ",Nesnel
"Bu uygulamanın sürekli çökmesi sinir bozucu, bir an önce düzeltilmeli. ",Öznel,,Olimpiyat Oyunları her dört yılda bir düzenlenir. ,Nesnel
Bence siyah beyaz filmlerin duygusu modern filmlerde yok. ,Öznel,,Dünyanın en büyük okyanusu Pasifik Okyanusu’dur. ,Nesnel
"Yeni aldığım vazo o kadar zarif ki, odamın havasını değiştirdi. ",Öznel,,Atom numarası 1 olan element hidrojendir. ,Nesnel
"Bu pastanenin makaronları harika, ama fiyatları biraz yüksek. ",Öznel,,Afrika’da konuşulan en yaygın dillerden biri Svahili’dir. ,Nesnel
Bence göl kenarında bisiklet sürmek tam bir terapi. ,Öznel,,"İstanbul Boğazı, Karadeniz ile Marmara Denizi’ni birbirine bağlar. ",Nesnel
"Dün oynadığım kart oyunu o kadar eğlenceliydi ki, sabahladık. ",Öznel,,"Türkiye, 7 coğrafi bölgeye ayrılmıştır. ",Nesnel
"Bu markanın güneş kremleri çok etkili, ama kokusu biraz ağır. ",Öznel,,Roma İmparatorluğu’nun resmi dili Latince’ydi. ,Nesnel
Bence yüksek sesle müzik dinlemek bütün stresi alıyor. ,Öznel,,Mısır piramitleri Antik Çağ'da inşa edilmiştir. ,Nesnel
"Yeni aldığım yastık o kadar rahat ki, uyku kalitem arttı. ",Öznel,,"Dünya Sağlık Örgütü (WHO), 1948 yılında kurulmuştur. ",Nesnel
"Bu filmin çekimleri muhteşem, ama senaryosu biraz karışık. ",Öznel,,İngiltere’nin yönetim şekli parlamenter monarşidir. ,Nesnel
Bence evde baharatlı yemek yapmak mutfağa neşe katıyor! ,Öznel,,"NASA, Amerika Birleşik Devletleri'nin uzay ajansıdır. ",Nesnel
"Bu yeni çantanın tasarımı o kadar zarif ki, her kıyafetle uyumlu! ",Öznel,,"Rüzgar enerjisi, yenilenebilir bir enerji kaynağıdır. ",Nesnel
Bence soğuk havalarda battaniyeye sarılıp çay içmek gibisi yok. ,Öznel,,"Mozart, Klasik Batı müziğinin önemli bestecilerindendir. ",Nesnel
"Dün aldığım puzzle o kadar eğlenceli ki, saatlerce başından kalkmadım. ",Öznel,,"Hindistan, nüfus bakımından dünyanın en kalabalık ülkelerinden biridir. ",Nesnel
"Bu uygulamanın yüklenmesi çok uzun sürüyor, sabrımı zorluyor. ",Öznel,,Matematikte π (pi) sayısı yaklaşık 3.14’tür. ,Nesnel
Bence bahçede kahvaltı yapmak haftasonlarını özel kılıyor. ,Öznel,,Dünya'nın en derin noktası Mariana Çukuru’dur. ,Nesnel
"Yeni aldığım şapkanın rengi o kadar canlı ki, herkes bayıldı! ",Öznel,,"Ay, ışığını Güneş’ten alır. ",Nesnel
"Bu filmin hikayesi o kadar dokunaklı ki, gözyaşlarımı tutamadım. ",Öznel,,"Antarktika, dünyanın en soğuk kıtasıdır. ",Nesnel
Dün gittiğim fotoğraf sergisi inanılmaz ilham vericiydi. ,Öznel,,"Türkiye, NATO üyesi bir ülkedir. ",Nesnel
Bence dairede yoga yapmak hem pratik hem de çok rahatlatıcı. ,Öznel,,"Mars, kırmızı gezegen olarak bilinir. ",Nesnel
"Bu şarkının ritmi o kadar enerjik ki, dans etmeden duramıyorum. ",Öznel,,"Karbondioksit, renksiz ve kokusuz bir gazdır. ",Nesnel
"Yeni aldığım termos o kadar iyi ki, kahvem saatlerce sıcak kalıyor. ",Öznel,,Türkiye'nin en büyük gölü Van Gölü’dür. ,Nesnel
"Bu restoranın salataları çok taze, ama sosları biraz ağır. ",Öznel,,Dünya üzerindeki en uzun nehir Nil Nehri’dir. ,Nesnel
Bence akvaryum balığı beslemek evde sakin bir hava yaratıyor. ,Öznel,,"Elektrik, iletken maddeler aracılığıyla taşınabilir. ",Nesnel
"Dün oynadığım strateji oyunu çok zevkli, ama biraz karmaşık. ",Öznel,,"Dünya, Güneş Sistemi'nde üçüncü sıradaki gezegendir. ",Nesnel
"Bu markanın çorapları o kadar rahat ki, başka marka giyemiyorum. ",Öznel,,"Newton, yerçekimi kanununu ortaya koymuştur. ",Nesnel
Bence sabahları kuş sesleriyle uyanmak harika bir his. ,Öznel,,"Ay tutulması, Dünya'nın Ay ile Güneş arasına girmesiyle oluşur. ",Nesnel
"Bu dizinin sahneleri çok etkileyici, ama diyaloglar biraz zayıf. ",Öznel,,Türkiye'de yaz saati uygulaması kaldırılmıştır. ,Nesnel
"Yeni aldığım kalemin yazımı o kadar akıcı ki, not almak keyifli. ",Öznel,,"Yunan mitolojisinde Zeus, en güçlü tanrıdır. ",Nesnel
"Bu fırının simitleri o kadar çıtır ki, her sabah almak istiyorum. ",Öznel,,"Arkeoloji, eski medeniyetleri inceleyen bilim dalıdır. ",Nesnel
Bence uzun araba yolculuklarında manzara izlemek çok keyifli. ,Öznel,,Latin alfabesi 29 harften oluşur. ,Nesnel
"Dün yaptığım kek o kadar kabarık oldu ki, herkes tarifini istedi. ",Öznel,,İnsan kalbinde dört odacık bulunur. ,Nesnel
"Bu filmin renk paleti muhteşem, ama temposu biraz ağır. ",Öznel,,Türkiye’nin komşularından biri Gürcistan’dır. ,Nesnel
Bence koşu bandında müzikle spor yapmak çok motive edici. ,Öznel,,Dünya'daki en kalabalık şehirlerden biri Tokyo’dur. ,Nesnel
"Yeni taşındığımız dairenin ışığı o kadar güzel ki, her köşe fotoğraflık. ",Öznel,,Sanayi Devrimi 18. yüzyılda başlamıştır. ,Nesnel
"Bu telefonun kamerası harika, ama gece çekimleri biraz grenli. ",Öznel,,Çernobil nükleer kazası 1986 yılında meydana gelmiştir. ,Nesnel
"Dün katıldığım dans dersi o kadar eğlenceliydi ki, tekrar sabırsızlanıyorum. ",Öznel,,"Rüzgar, yüksek basınçtan alçak basınca doğru eser. ",Nesnel
Bence arkadaşlarla kahve içip sohbet etmek en güzel terapi. ,Öznel,,"Fotosentez, bitkilerin ışık enerjisini kimyasal enerjiye dönüştürmesidir. ",Nesnel
"Bu pastanenin profiterolü o kadar lezzetli ki, rüyalarıma giriyor! ",Öznel,,"DNA, çift sarmal yapıya sahiptir. ",Nesnel
"Yeni aldığım duvar saatinin tasarımı o kadar şık ki, odamın yıldızı oldu. ",Öznel,,"Bir kilogram, 1000 grama eşittir. ",Nesnel
"Bu oyunun dünyası çok detaylı, ama yükleme ekranları uzun. ",Öznel,,Ay'da atmosfer yoktur. ,Nesnel
Bence naber çiçeklerinin kokusu baharı hissettiriyor. ,Öznel,,Türkiye’nin en yüksek dağı Ağrı Dağı’dır. ,Nesnel
"Dün okuduğum roman o kadar sürükleyiciydi ki, bir gecede bitirdim. ",Öznel,,Dünya'nın çevresi yaklaşık 40.000 kilometredir. ,Nesnel
"Bu markanın pantolonları çok rahat, ama bedenleri biraz küçük. ",Öznel,,"Teleskop, uzak gök cisimlerini gözlemlemek için kullanılır. ",Nesnel
Bence evde makarna yapmak hem kolay hem de çok keyifli. ,Öznel,,"Petrol, fosil yakıtlar arasında yer alır. ",Nesnel
"Bu dizinin müzikleri o kadar güzel ki, tekrar tekrar dinliyorum. ",Öznel,,Türkiye’de en çok nüfusa sahip şehir İstanbul’dur. ,Nesnel
"Yeni aldığım sırt çantası o kadar kullanışlı ki, her yere götürüyorum. ",Öznel,,"Rönesans, 14. yüzyılda İtalya’da başlamıştır. ",Nesnel
"Bu kafe çok sevimli, ama masalar biraz fazla yakın. ",Öznel,,"Göz, ışığa duyarlı bir organdır. ",Nesnel
Bence örgü örmek hem rahatlatıcı hem de yaratıcı bir hobi. ,Öznel,,"Kutup yıldızı, kuzey yarımkürede yön bulmada kullanılır. ",Nesnel
"Dün izlediğim tarih belgeseli o kadar ilginçti ki, notlar aldım. ",Öznel,,Matematikte asal sayılar yalnızca 1 ve kendisine bölünebilir. ,Nesnel
"Bu uygulamanın bildirim sesi çok rahatsız edici, hemen değiştirdim. ",Öznel,,"Arktik bölge, Kuzey Kutbu’nu kapsar. ",Nesnel
 ,Öznel,,"Türkiye, Asya ve Avrupa kıtalarında yer alır. ",Nesnel
Bence eski çizgi filmlerin neşesi yeni animasyonlarda yok. ,Öznel,,İnsan vücudundaki en büyük iç organ karaciğerdir. ,Nesnel
"Yeni aldığım kitap ayracı o kadar tatlı ki, okumak daha keyifli. ",Öznel,,Bir yıl 365 gün sürer (artık yıllar hariç). ,Nesnel
"Bu restoranın mezeleri harika, ama ana yemekler biraz sıradan. ",Öznel,,"DNA, hücre çekirdeğinde bulunur. ",Nesnel
Bence nehir kenarında piknik yapmak tam bir yaz ritüeli. ,Öznel,,Dünya'nın en uzun kara sınırına sahip ülkesi Rusya’dır. ,Nesnel
"Dün oynadığım kelime oyunu o kadar bağımlılık yaptı ki, bırakamıyorum. ",Öznel,,Tundra iklimi kutuplara yakın bölgelerde görülür. ,Nesnel
"Bu markanın ojeleri çok kalıcı, ama çıkarması biraz zor. ",Öznel,,"Türkiye, BM (Birleşmiş Milletler) üyesidir. ",Nesnel
Bence evde karaoke yapmak arkadaşlarla en eğlenceli aktivite. ,Öznel,,Atmosferde en çok bulunan gaz azottur. ,Nesnel
"Yeni aldığım battaniye o kadar yumuşak ki, üstünden kalkmak istemiyorum. ",Öznel,,Dünya'nın şekli geoid’dir. ,Nesnel
"Bu filmin kurgusu çok zekice, ama bazı sahneler gereksiz uzun. ",Öznel,,"Mikroskop, çok küçük canlıları incelemek için kullanılır. ",Nesnel
Bence evde baharatlı çorba yapmak soğuk günlerin vazgeçilmezi! ,Öznel,,"Pisa Kulesi, İtalya’da bulunur. ",Nesnel
"Bugün hava harika, dışarı çıkmak için mükemmel bir gün. ",Öznel,,"Roma, İtalya'nın başkentidir. ",Nesnel
Bu filmi izlerken gerçekten çok sıkıldım. ,Öznel,,Türkiye’de ilk meclis 1920 yılında açılmıştır. ,Nesnel
Karpuzlu dondurma vanilyalıdan çok daha lezzetli. ,Öznel,,Dünya’daki en eski yazılı yasalar Hammurabi Kanunları’dır. ,Nesnel
Onun sesi bana göre çok rahatsız edici. ,Öznel,,Güneş Sistemi’nde sekiz gezegen vardır. ,Nesnel
Bence bu kitap şimdiye kadar okuduklarımın en iyisiydi. ,Öznel,,Türkiye’nin en kalabalık ikinci şehri Ankara’dır. ,Nesnel
"Tatil köyü çok güzeldi, tam bir cennet gibiydi. ",Öznel,,Kuzey Yarımküre’de yaz mevsimi haziran ayında başlar. ,Nesnel
Bu elbise sana hiç yakışmamış. ,Öznel,,"Termometre, sıcaklık ölçmek için kullanılır. ",Nesnel
O konser tam bir hayal kırıklığıydı. ,Öznel,,"  Dünya, kendi etrafında batıdan doğuya doğru döner. ",Nesnel
"Yeni diziyi hiç beğenmedim, çok yavaş ilerliyor. ",Öznel,,Almanya’nın para birimi Euro’dur. ,Nesnel
En sevdiğim mevsim kesinlikle ilkbahar. ,Öznel,,Türkiye'nin en derin gölü Hazar Gölü’dür. ,Nesnel
Kahve sabahları içilmesi gereken en güzel içecektir. ,Öznel,,Kutup ayıları sadece Kuzey Kutbu’nda yaşar. ,Nesnel
Öğretmenimiz çok tatlı ve anlayışlı bir insan. ,Öznel,,"Ağaçlar, fotosentez yaparak oksijen üretir. ",Nesnel
Bu şarkının sözleri çok dokunaklı. ,Öznel,,"Paris, Eiffel Kulesi’ne ev sahipliği yapar. ",Nesnel
Telefonun tasarımı çok estetik değil bence. ,Öznel,,İnsan vücudu ortalama 37°C sıcaklıktadır. ,Nesnel
Kalabalık şehirlerde yaşamak gerçekten zor. ,Öznel,,"And Dağları, Güney Amerika’da yer alır. ",Nesnel
"Kitabın sonu çok saçmaydı, daha iyi olabilirdi. ",Öznel,,"Helyum, periyodik tabloda ikinci sırada yer alır. ",Nesnel
Bu tablonun renk uyumu beni çok etkiledi. ,Öznel,,Güneş Sistemi'nde Güneş merkezde yer alır. ,Nesnel
Tatlıyı fazla kaçırmak midemi bozuyor. ,Öznel,,Hindistan’ın başkenti Yeni Delhi’dir. ,Nesnel
Bu tatil hiç dinlendirici olmadı bana göre. ,Öznel,,"Manyetik alan, elektrik akımıyla oluşabilir. ",Nesnel
Yeni saç modelin sana çok yakışmış. ,Öznel,,"Türkiye, Ege Denizi’ne kıyısı olan bir ülkedir. ",Nesnel
O oyunu oynamak çok eğlenceliydi. ,Öznel,,En kısa ay şubat ayıdır. ,Nesnel
Filmdeki karakterler yeterince derin değildi. ,Öznel,,Suyun donma noktası 0°C’dir. ,Nesnel
"Bu sabah kahvaltı harikaydı, ellerine sağlık. ",Öznel,,Osmanlı İmparatorluğu 1299 yılında kurulmuştur. ,Nesnel
Bence en iyi futbolcu hala Messi. ,Öznel,,Türkiye'nin ilk kadın pilotu Sabiha Gökçen'dir. ,Nesnel
Bu restorandaki yemekler çok yağlı ve ağır. ,Öznel,,Afrika kıtasında 50’den fazla ülke vardır. ,Nesnel
Yeni aldığım kitap bana pek hitap etmedi. ,Öznel,,"İklim, uzun yıllar süren hava olaylarının ortalamasıdır. ",Nesnel
Bu tatlı fazla şekerli olmuş. ,Öznel,,"Nüfus, belirli bir alandaki insan sayısını ifade eder. ",Nesnel
Kırmızı ruj bence herkese yakışmaz. ,Öznel,,"Mozart, Avusturyalı bir bestecidir. ",Nesnel
Bu koltuklar çok rahatsız edici. ,Öznel,,Uluslararası saat dilimi Greenwich’e göre ayarlanır. ,Nesnel
Arkadaşımın doğum günü pastası harikaydı. ,Öznel,,"Tundra bitki örtüsü, soğuk iklimlerde bulunur. ",Nesnel
İstanbul’da yaşamak insanı gerçekten yıpratıyor. ,Öznel,,Dünya'daki en büyük çöl Sahara Çölü’dür. ,Nesnel
Yeni bölüm beklediğim kadar heyecanlı değildi. ,Öznel,,Ay tutulması geceleri gerçekleşir. ,Nesnel
Bu film ödül alacak kadar iyi değil. ,Öznel,,"Türkiye, Asya ve Avrupa kıtaları arasında bir köprü konumundadır. ",Nesnel
